,0,1
916,2333,14.6
917,2333.1,13.6
918,2333.1,7.6
919,2333.1,9
920,2333.1,11.1
921,2333.1,7.2
922,2333.1,17
923,2333.1,3.4
924,2333.2,6.4
925,2333.2,13.1
926,2333.2,19
927,2333.3,9.3
928,2333.3,12.1
929,2333.3,6.1
930,2333.3,12.6
931,2333.3,7
932,2333.3,14.3
933,2333.3,14.6
934,2333.3,7.5
935,2333.3,6.4
936,2333.4,9.2
937,2333.4,5.5
938,2333.4,13.4
939,2333.4,13.1
940,2333.5,13.9
941,2333.5,14.3
942,2333.5,9.4
943,2333.5,15.8
944,2333.5,3.4
945,2333.5,13
946,2333.5,14.8
947,2333.5,15.5
948,2333.5,15.5
949,2333.7,4.4
950,2333.7,4.6
951,2333.8,5.6
952,2333.8,14.9
953,2333.8,15.6
954,2333.8,7
955,2333.8,17.7
956,2333.8,4.3
957,2333.9,18.9
958,2334,13.6
959,2334.2,4.7
960,2334.2,15.1
961,2334.2,14.9
962,2334.2,9.1
963,2334.2,19.4
964,2334.3,19.3
965,2334.4,10.2
966,2334.4,16.4
967,2334.6,17.4
968,2334.8,8.1
969,2334.8,10.6
970,2335.1,12.3
971,2335.3,14.8
972,2335.5,5
973,2336.5,13.1
974,2336.9,13.4
975,2337.2,14.6
976,2337.3,28.6
977,2337.3,12.7
978,2337.5,29.9
979,2337.5,7.2
980,2337.6,9.3
981,2337.7,7.9
982,2338.1,15.6
983,2338.3,10.2
984,2338.3,23.3
985,2338.5,10.1
986,2338.6,14.2
987,2338.7,5.3
988,2338.7,15.2
989,2338.7,6.9
990,2338.8,15.9
991,2338.9,14.5
992,2339.3,9.1
993,2339.3,16.4
994,2339.6,13.3
995,2339.7,14.8
996,2340.2,17.1
997,2341.7,18.2
998,2342.3,20.9
999,2342.6,7.4
1000,2357.4,8.5
1001,2359,8.4
1002,2359.5,9.6
1003,2369.3,15.3
1004,2369.4,14.7
1005,2369.4,14.5
1006,2369.6,12.3
1007,2369.6,12.8
1008,2370,12
1009,2373.1,8.3
1010,2378.2,14.7
1011,2383.1,6
1012,2384.9,19.8
1013,2390.8,2.3
1014,2394.9,100
1015,2395.3,100
1016,2407.9,60.5
1017,2413.7,100
1018,2414.2,100
1019,2414.3,65.1
1020,2414.4,100
1021,2414.5,100
1022,2415.1,100
1023,2415.4,100
1024,2415.9,25.7
1025,2416.1,100
1026,2416.5,100
1027,2416.5,100
1028,2417,92.9
1029,2417.3,78.9
1030,2420.8,60.6
1031,2420.8,38.4
1032,2421.1,100
1033,2421.4,54.3
1034,2421.4,100
1035,2422.5,100
1036,2422.6,100
1037,2424.3,61.6
1038,2424.3,100
1039,2424.4,20.8
1040,2424.5,66.8
1041,2424.6,26.7
1042,2424.6,39.6
1043,2424.7,100
1044,2425,100
1045,2425.1,100
1046,2425.4,73.2
1047,2425.5,100
1048,2425.5,67.6
1049,2425.5,84.7
1050,2425.5,27.6
1051,2425.6,36.6
1052,2425.8,63.3
1053,2425.8,100
1054,2425.8,100
1055,2425.8,100
1056,2425.9,43.8
1057,2425.9,87.5
1058,2426,84.1
1059,2426,100
1060,2426,28.6
1061,2426.1,100
1062,2426.1,65.3
1063,2426.2,87.9
1064,2426.2,100
1065,2426.2,100
1066,2426.2,100
1067,2426.3,100
1068,2426.3,25.8
1069,2426.4,84.5
1070,2426.4,100
1071,2426.5,52.5
1072,2426.6,100
1073,2426.6,100
1074,2426.7,100
1075,2426.7,100
1076,2426.9,31.3
1077,2426.9,100
1078,2427.2,76.8
1079,2427.2,100
1080,2427.3,100
1081,2427.4,100
1082,2427.6,75.3
1083,2428.1,39.3
1084,2428.2,87
1085,2428.2,32.2
1086,2428.3,61.7
1087,2428.3,35.5
1088,2428.3,100
1089,2428.4,100
1090,2428.5,38.4
1091,2428.6,100
1092,2428.7,100
1093,2428.9,54.6
1094,2428.9,60.6
1095,2428.9,14.3
1096,2428.9,54.1
1097,2428.9,100
1098,2428.9,100
